app_name,os,audience_name,audience_id,estimated_count,status
Dice With Buddies: Dice Game,iOS,US_iOS_Dice With Buddies Dice Game_PIE,6962666465835,0,⚠ Empty
Yazy the best yatzy dice game,Android,US_Android_Yazy the best yatzy dice game_PIE,6962667122835,0,⚠ Empty
Dice Puzzle - Merge puzzle,Android,US_Android_Dice Puzzle Merge puzzle_PIE,6962852211435,0,⚠ Empty
Yatzy-Free social dice game,Android,US_Android_YatzyFree social dice game_PIE,6962679739635,0,⚠ Empty
Ludo Party : Dice Board Game,Android,US_Android_Ludo Party Dice Board Game_PIE,6962680111235,0,⚠ Empty
Dice Dreams™️,Android,US_Android_Dice Dreams️_PIE,6962680529035,0,⚠ Empty
Dice With Buddies™ Free - The Fun Social Dice Game,Android,US_Android_Dice With Buddies Free The Fun Social Dice Game_PIE,6962681064835,0,⚠ Empty
Solitaire,Android,US_Android_Solitaire_PIE,6962683772235,0,⚠ Empty
Solitaire – Classic Card Game.,Android,US_Android_Solitaire Classic Card Game._PIE,6962686685435,0,⚠ Empty
Classic Solitaire,Android,US_Android_Classic Solitaire_PIE,6962687686635,0,⚠ Empty
Pyramid Solitaire,Android,US_Android_Pyramid Solitaire_PIE,6962689112435,0,⚠ Empty
Solitaire: Card Games Classic,Android,US_Android_Solitaire Card Games Classic_PIE,6962700583235,0,⚠ Empty
Solitaire - A Classic Card Game,iOS,US_iOS_Solitaire A Classic Card Game_PIE,6962701338035,0,⚠ Empty
Mahjong Solitaire,Android,US_Android_Mahjong Solitaire_PIE,6962702068835,0,⚠ Empty
Aces Up Solitaire ·,Android,US_Android_Aces Up Solitaire ·_PIE,6962702182235,0,⚠ Empty
Solitaire Classic,Android,US_Android_Solitaire Classic_PIE,6962703097635,0,⚠ Empty
Solitaire - Classic Card Game Klondike & Patience,Android,US_Android_Solitaire Classic Card Game Klondike and Patience_PIE,6962705161435,0,⚠ Empty
Spider Solitaire,Android,US_Android_Spider Solitaire_PIE,6962706162235,0,⚠ Empty
Spider Solitaire: Card Game,iOS,US_iOS_Spider Solitaire Card Game_PIE,6962706523035,0,⚠ Empty
FreeCell Solitaire Card Game,iOS,US_iOS_FreeCell Solitaire Card Game_PIE,6962706919235,0,⚠ Empty
Mahjong Solitaire: Classic,Android,US_Android_Mahjong Solitaire Classic_PIE,6962708416835,0,⚠ Empty
Solitaire Mania,Android,US_Android_Solitaire Mania_PIE,6962709397235,0,⚠ Empty
Solitaire - Free Classic Solitaire Card Games,Android,US_Android_Solitaire Free Classic Solitaire Card Games_PIE,6962710019835,0,⚠ Empty
FreeCell Solitaire,iOS,US_iOS_FreeCell Solitaire_PIE,6962710433235,0,⚠ Empty
Solitaire TriPeaks,Android,US_Android_Solitaire TriPeaks_PIE,6962710984635,0,⚠ Empty
⋆Spider Solitaire,Android,US_Android_⋆Spider Solitaire_PIE,6962711670235,0,⚠ Empty
S’more - Earn Cash Rewards,Android,US_Android_S’more Earn Cash Rewards_PIE,6962712034835,0,⚠ Empty
Cashzine: Buzz Interact & Get Reward Daily,iPadOS,US_iPadOS_Cashzine Buzz Interact and Get Reward Daily_PIE,6962712095235,0,⚠ Empty
cashKarma Rewards & Gift Cards,iOS,US_iOS_cashKarma Rewards and Gift Cards_PIE,6962712118035,0,⚠ Empty
Tile Master - Classic Triple Match & Puzzle Game,Android,US_Android_Tile Master Classic Triple Match and Puzzle Game_PIE,6962712174835,0,⚠ Empty
